Date,C_,S_,W_,
20130514,0,0,1,996462.0
20130515,0,0,0,995825.0
20130516,0,0,0,995825.0
20130517,0,1,0,996562.0
20130520,0,1,0,997362.0
20130521,0,1,0,998050.0
20130522,0,1,0,998850.0
20130523,1,1,0,998750.0
20130524,1,1,0,997350.0
20130528,1,1,0,999462.0
20130529,1,1,0,999012.0
20130530,1,1,0,998175.0
20130531,1,1,0,999275.0
20130603,1,1,0,1000088.0
20130604,1,1,0,1000138.0
20130605,1,1,0,1000312.0
20130606,1,1,0,1000200.0
20130607,1,1,0,1000400.0
20130610,1,1,0,998762.0
20130611,1,1,0,1000675.0
20130612,1,1,0,1000250.0
20130613,0,1,0,998362.0
20130614,0,1,0,998675.0
20130617,0,1,0,998475.0
20130618,1,1,0,998312.0
20130619,1,1,0,999375.0
20130620,1,1,0,997650.0
20130621,1,1,0,996862.0
20130624,1,1,0,997375.0
20130625,1,1,0,998212.0
20130626,1,1,1,998262.0
20130627,1,1,1,998300.0
20130628,1,1,1,998112.0
20130701,1,0,1,998362.0
20130702,1,0,1,998125.0
20130703,1,0,1,997825.0
20130705,1,0,1,998400.0
20130708,1,0,1,997875.0
20130709,1,0,1,996225.0
20130710,1,0,1,996050.0
20130711,1,0,1,995500.0
20130712,1,0,1,996362.0
20130715,1,0,1,997400.0
20130716,1,0,1,996950.0
20130717,1,0,1,997512.0
20130718,1,0,1,997612.0
20130719,1,0,1,997262.0
20130722,1,0,1,997662.0
20130723,1,0,1,998875.0
20130724,1,0,1,999612.0
20130725,1,0,1,1000425.0
20130726,1,0,1,1000575.0
20130729,1,0,1,1000650.0
