Date,TY,FV,US,ES,NQ,EM,
20110817,1,1,1,0,1,0,522026.0
20110818,1,1,1,1,1,0,526831.0
20110819,1,1,1,1,1,0,529236.0
20110822,1,1,1,1,1,0,528846.0
20110823,1,1,1,1,1,0,524054.0
20110824,0,0,0,1,1,0,521525.0
20110825,0,0,1,1,0,0,522149.0
20110826,1,0,1,1,1,0,520064.0
20110829,1,0,1,1,1,0,515438.0
20110830,1,0,1,0,1,0,517275.0
20110831,1,0,1,0,1,0,515328.0
20110901,1,0,1,0,1,0,517736.0
20110902,1,0,1,0,1,0,522489.0
20110906,1,0,1,0,1,0,522885.0
20110907,1,0,1,0,1,0,520125.0
20110908,1,0,1,0,1,0,521194.0
20110909,1,0,1,0,1,0,523899.0
20110912,1,0,1,0,1,0,523144.0
20110913,1,0,1,0,1,0,521056.0
20110914,1,0,1,0,0,0,520195.0
20110915,1,0,1,0,0,0,518507.0
20110916,1,0,1,0,0,0,518867.0
20110919,1,0,1,0,0,0,522132.0
20110920,1,0,1,0,0,0,521711.0
20110921,1,0,1,0,0,0,523804.0
20110922,1,0,1,1,0,0,526879.0
20110923,1,0,1,1,0,0,524441.0
20110926,1,0,1,1,0,0,520535.0
20110927,0,0,0,0,0,0,517676.0
20110928,0,0,0,0,0,0,517676.0
20110929,0,0,0,0,0,0,517676.0
20110930,0,0,0,0,0,0,517676.0
20111003,0,0,0,1,0,0,517784.0
20111004,0,0,0,1,1,0,515088.0
20111005,0,0,0,1,1,0,512933.0
20111006,0,0,0,1,1,0,511063.0
20111007,0,0,0,1,1,0,511248.0
20111010,0,0,0,0,0,0,508408.0
20111011,0,0,0,0,0,0,508408.0
20111012,0,0,0,0,0,0,508408.0
20111013,0,0,0,0,0,0,508408.0
20111014,0,0,0,0,0,0,508408.0
20111017,0,0,0,0,0,0,508408.0
20111018,0,0,0,0,0,0,508408.0
20111019,0,0,0,0,0,0,508408.0
20111020,0,0,0,0,0,0,508408.0
20111021,0,0,0,0,0,0,508408.0
20111024,0,0,0,0,0,0,508408.0
20111025,0,0,0,0,0,0,508408.0
20111026,0,0,0,0,0,0,508408.0
20111027,0,0,0,0,0,0,508408.0
20111028,0,0,0,0,0,0,508408.0
20111031,0,0,0,0,0,0,508408.0
20111101,0,0,0,0,0,0,508408.0
20111102,0,0,0,0,0,0,508408.0
20111103,0,0,0,0,0,0,508408.0
20111104,0,0,0,0,0,0,508408.0
20111107,0,0,0,0,0,0,508408.0
20111108,0,0,0,0,0,0,508408.0
20111109,0,0,0,0,0,0,508408.0
20111110,0,0,0,0,0,0,508408.0
20111111,0,0,0,0,0,0,508408.0
20111114,0,0,0,0,0,0,508408.0
20111115,0,0,0,0,0,0,508408.0
20111116,0,0,0,0,0,0,508408.0
20111117,0,0,0,0,0,0,508408.0
20111118,0,0,0,0,0,0,508408.0
20111121,0,0,0,0,0,0,508408.0
20111122,0,0,0,0,0,0,508408.0
20111123,0,0,0,0,0,0,508408.0
20111125,0,0,0,0,0,0,508408.0
20111128,0,0,0,0,0,0,508408.0
20111129,0,0,0,0,0,0,508408.0
20111130,0,0,0,0,0,0,508408.0
20111201,0,0,0,0,0,0,508408.0
20111202,0,0,0,0,0,0,508408.0
20111205,0,0,0,0,0,0,508408.0
20111206,0,0,0,0,0,0,508408.0
20111207,0,0,0,0,0,0,508408.0
20111208,0,1,0,0,0,0,508392.0
20111209,0,1,0,0,0,0,508212.0
20111212,0,1,0,0,0,0,508314.0
20111213,0,1,0,0,0,0,508322.0
20111214,0,1,0,0,0,0,508306.0
20111215,0,1,0,0,0,0,508298.0
20111216,1,1,0,0,0,0,508534.0
20111219,1,1,1,0,0,0,508988.0
20111220,1,1,1,0,0,0,506097.0
20111221,1,1,1,0,0,0,504902.0
20111222,1,1,1,0,0,0,505129.0
20111223,1,0,1,0,0,0,502641.0
20111227,1,0,1,0,0,0,503203.0
20111228,1,0,1,0,0,0,506047.0
20111229,1,0,1,0,0,0,506156.0
20111230,1,0,1,0,0,0,506750.0
20120103,1,0,1,0,0,0,504453.0
20120104,1,0,0,0,0,0,503302.0
20120105,1,0,0,0,0,0,503412.0
20120106,1,0,0,0,0,0,503662.0
20120109,1,0,0,0,0,0,503771.0
20120110,1,0,0,0,0,0,503630.0
20120111,1,0,0,0,0,0,504115.0
20120112,1,0,0,0,0,0,503880.0
20120113,1,0,0,0,0,0,504458.0
20120117,1,0,0,0,0,0,504505.0
20120118,1,0,0,0,0,0,504177.0
20120119,1,0,0,0,1,0,503487.0
20120120,0,0,0,0,1,0,503424.0
20120123,0,0,0,0,1,0,503429.0
20120124,0,0,0,0,1,0,503479.0
20120125,0,0,0,0,1,0,503939.0
20120126,0,1,0,1,1,0,503089.0
20120127,0,1,0,1,1,0,503058.0
20120130,1,1,0,1,1,0,502964.0
20120131,1,1,0,1,1,0,503268.0
20120201,1,1,0,1,1,0,503996.0
20120202,1,1,0,1,1,0,504460.0
20120203,1,1,0,1,1,0,504723.0
20120206,1,1,0,1,1,0,505270.0
20120207,1,1,0,1,1,0,504870.0
20120208,1,0,0,1,1,0,505071.0
20120209,0,0,0,1,1,0,505050.0
20120210,0,0,0,1,1,0,504412.0
20120213,0,0,0,1,1,0,505222.0
20120214,0,0,0,1,1,0,505325.0
20120215,0,0,0,1,1,0,504680.0
20120216,0,0,0,1,0,0,505033.0
20120217,0,0,0,1,1,0,505048.0
20120221,0,0,0,1,1,0,505241.0
20120222,0,0,0,1,1,0,504796.0
20120223,0,0,0,1,1,0,505586.0
20120224,0,0,0,1,1,0,505613.0
20120227,0,0,0,1,1,0,505943.0
20120228,0,0,0,1,1,0,506636.0
20120229,0,0,0,0,1,0,505671.0
20120301,0,0,0,0,1,0,506076.0
20120302,0,0,0,0,1,0,506081.0
20120305,0,0,0,0,1,0,505531.0
20120306,0,0,0,0,0,0,505025.0
20120307,0,0,0,0,0,0,505025.0
20120308,0,0,0,0,0,0,505025.0
20120309,0,0,0,0,0,0,505025.0
20120312,0,0,0,0,0,0,505025.0
20120313,0,0,1,0,0,0,504906.0
20120314,1,1,1,0,1,0,508101.0
20120315,1,1,1,0,1,0,508148.0
20120316,1,1,1,0,1,0,508523.0
20120319,1,1,1,0,1,0,510960.0
20120320,1,1,1,0,1,0,510967.0
20120321,1,1,1,0,1,0,508860.0
20120322,1,1,1,0,1,0,508202.0
20120323,1,1,1,0,1,0,506949.0
20120326,1,1,1,0,1,0,507992.0
20120327,0,1,1,0,1,0,506442.0
20120328,0,0,0,0,1,0,505866.0
20120329,0,0,0,0,1,0,505671.0
20120330,0,0,0,0,1,0,505521.0
20120402,0,0,0,0,1,0,506046.0
20120403,0,0,1,0,1,0,506050.0
20120404,0,0,1,0,0,0,504994.0
20120405,0,0,1,0,0,0,503932.0
20120406,0,0,1,0,0,0,502026.0
20120409,0,0,0,0,0,0,501414.0
20120410,0,0,0,0,0,0,501414.0
20120411,0,0,0,0,0,0,501414.0
20120412,0,0,0,0,0,0,501414.0
