-----------------------------------------
Sys Name : Boll-10KLimitOTE_1R
Mkt Symb : CL Mkt Name : Crude
20120702    SimpleBuy  1 1195.50000       0.00       0.00
20120717   OTE - Lxit  1 1346.00000    7425.00   14562.50
20121113   SimpleSell  1 1195.50000       0.00       0.00
20130131        Sxit1  1 1271.75000   -3912.50   10650.00
20130408   SimpleSell  1 1170.75000       0.00       0.00
20130418        Sxit1  1 1230.50000   -3087.50    7562.50
20130520    SimpleBuy  1 1308.00000       0.00       0.00
20130613   OTE - Lxit  1 1401.75000    4587.50   12150.00
20130827    SimpleBuy  1 1495.50000       0.00       0.00
20131001         Lxit  1 1387.00000   -5525.00    6625.00
20140214    SimpleBuy  1 1467.50000       0.00       0.00
20140612         Lxit  1 1584.75000    5762.50   12387.50
20140701   SimpleSell  1 1480.00000       0.00       0.00
20140807   OTE - Sxit  1 1407.00000    3550.00   15937.50
20150520   SimpleSell  1 1257.50000       0.00       0.00
20150618        Sxit1  1 1278.25000   -1137.50   14800.00
20150629    SimpleBuy  1 1316.50000       0.00       0.00
20150728         Lxit  1 1269.25000   -2462.50   12337.50
20150825   SimpleSell  1 1208.75000       0.00       0.00
20151202        Sxit1  1 1223.25000    -825.00   11512.50
20160318    SimpleBuy  1 1230.25000       0.00       0.00
20160512   OTE - Lxit  1 1402.25000    8500.00   20012.50
20161123    SimpleBuy  1 1371.25000       0.00       0.00
20161223         Lxit  1 1335.25000   -1900.00   18112.50
20170118    SimpleBuy  1 1399.50000       0.00       0.00
20170131         Lxit  1 1354.50000   -2350.00   15762.50
20170315   SimpleSell  1 1319.25000       0.00       0.00
20170601   OTE - Sxit  1 1226.00000    4562.50   20325.00
20170711    SimpleBuy  1 1344.75000       0.00       0.00
20170804         Lxit  1 1264.25000   -4125.00   16200.00
20171206    SimpleBuy  1 1300.50000       0.00       0.00
20171213         Lxit  1 1268.50000   -1700.00   14500.00
20171220   SimpleSell  1 1248.25000       0.00       0.00
20180125        Sxit1  1 1273.25000   -1350.00   13150.00
20180216    SimpleBuy  1 1304.75000       0.00       0.00
20180326         Lxit  1 1296.25000    -525.00   12625.00
20180518   SimpleSell  1 1254.00000       0.00       0.00
20180525        Sxit1  1 1295.00000   -2150.00   10475.00
20180606   SimpleSell  1 1262.75000       0.00       0.00
20180620   OTE - Sxit  1 1149.00000    5587.50   16062.50
20181204    SimpleBuy  1 1128.50000       0.00       0.00
20181227         Lxit  1 1096.00000   -1725.00   14337.50
